,index,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force
149,364,1,3.0050420168067227,32.3,68.8,114.6054131054131,3044.6,
150,365,0,3.0050420168067227,34.0,100.0,114.6054131054131,2456.0,
151,368,1,3.0050420168067227,28.0,45.9,114.6054131054131,1213.9,
152,372,1,3.0050420168067227,48.0,80.0,85.0,2800.0,
153,374,1,3.0050420168067227,24.6,39.3,114.6054131054131,951.4,
154,376,0,3.0050420168067227,28.0,49.3,114.6054131054131,1213.9,
155,379,1,3.0050420168067227,45.51390243902439,13.0,114.6054131054131,262.5,
156,380,1,3.0050420168067227,26.7,40.0,114.6054131054131,6281.1,
157,383,1,3.0050420168067227,36.0,55.8,114.6054131054131,1410.8,
158,384,0,3.0050420168067227,16.2,10.8,114.6054131054131,197.5,
159,385,1,3.0050420168067227,75.0,200.0,205.0,5600.0,
160,387,1,3.0050420168067227,24.2,29.5,114.6054131054131,728.3,
161,388,1,6.0,65.0,150.0,114.6054131054131,3738.0,
162,389,1,3.0050420168067227,24.6,30.2,114.6054131054131,764.4,2.2
163,390,1,3.0050420168067227,21.7,27.9,114.6054131054131,679.2,
164,391,0,3.0050420168067227,45.51390243902439,15.0,8.0,2001.7804232804233,
165,395,1,2.0,52.8,137.8,114.6054131054131,705.4,
166,397,0,3.0050420168067227,45.0,93.5,114.6054131054131,7677.2,
167,398,1,3.0050420168067227,35.0,51.8,49.8,1312.3,
168,399,1,4.0,53.7,117.8,111.8,2454.1,
169,400,0,1.0,45.51390243902439,36.1,114.6054131054131,1197.5,
170,402,1,3.0050420168067227,35.0,63.5,114.6054131054131,2000.0,
171,403,0,2.0,55.9,229.7,114.6054131054131,1509.2,6.5
172,405,0,1.0,70.0,224.0,114.6054131054131,1365.0,3.5
173,406,1,3.0050420168067227,52.8,47.9,114.6054131054131,1463.3,
174,409,1,3.0050420168067227,55.0,85.0,114.6054131054131,2700.0,
175,410,1,4.0,58.0,90.0,124.0,2800.0,
176,411,1,3.0050420168067227,63.4,210.0,114.6054131054131,590.6,
177,415,0,3.0050420168067227,58.0,93.0,114.6054131054131,3819.0,
178,417,1,3.0050420168067227,37.3,39.3,114.6054131054131,1049.8,
179,419,1,1.0,52.8,88.5,82.0,3750.0,4.3
180,421,1,3.0050420168067227,56.0,105.0,105.8,3590.0,
181,423,0,1.0,45.0,63.0,114.6054131054131,1775.0,
182,431,0,3.0050420168067227,19.9,19.7,114.6054131054131,652.9,
183,432,1,4.0,70.0,208.0,114.6054131054131,2735.0,
184,433,1,3.0050420168067227,8.9,4.3,114.6054131054131,2001.7804232804233,
185,437,0,3.0050420168067227,28.0,36.1,114.6054131054131,1066.3,
186,444,1,3.0050420168067227,46.6,49.3,114.6054131054131,1968.5,2.5
187,445,0,2.0,40.0,75.0,68.0,2400.0,
188,447,1,3.0050420168067227,29.1,42.7,114.6054131054131,1377.9,2.5
189,450,0,3.0050420168067227,18.6,14.8,114.6054131054131,413.4,
190,452,1,2.0,38.0,65.6,114.6054131054131,1148.3,4.0
191,453,0,3.0050420168067227,55.0,75.0,114.6054131054131,2500.0,
192,456,1,3.0050420168067227,80.0,205.1,114.6054131054131,1312.3,
193,460,1,4.0,55.0,98.0,114.6054131054131,1975.0,
194,461,0,3.0,50.0,131.2,114.6054131054131,1013.8,5.0
195,462,1,4.0,55.9,114.8,114.6054131054131,2234.3,4.3
196,467,1,3.0,65.6,191.0,177.0,1204.0,4.5
197,469,1,2.0,68.4,180.4,114.6054131054131,3215.2,
198,470,1,3.0050420168067227,24.9,31.2,114.6054131054131,1049.8,
199,476,1,7.0,65.0,150.0,150.0,3937.0,4.5
200,479,1,4.0,50.0,102.0,90.0,2130.0,
201,482,0,3.0050420168067227,40.0,70.0,70.0,2865.0,
202,489,1,3.0050420168067227,30.0,60.0,40.0,2680.0,
203,494,1,3.0050420168067227,27.7,42.6,114.6054131054131,1099.0,
204,501,1,3.0050420168067227,45.51390243902439,13.0,114.6054131054131,262.5,
205,503,0,2.0,49.7,93.5,85.3,2362.2,4.0
206,504,1,2.0,65.3,151.6,114.6054131054131,492.2,5.0
207,505,1,3.0050420168067227,45.51390243902439,60.0,45.0,2400.0,
208,506,1,5.0,65.2,132.0,114.6054131054131,2800.0,
209,511,1,3.0050420168067227,16.2,10.8,114.6054131054131,197.5,
210,518,1,3.0050420168067227,45.51390243902439,14.0,114.6054131054131,190.0,
